framework_number,lot_number,lot_description
RM1675,2,"Adverse Costs & Recovery of Costs Low Value(less than £75,000)or Routine Ca"
RM1675,1,"Adverse Costs and Recovery of Costs in High Value (£75,000+)or Complex Case"
RM1687 Lot 1,1,Managed Printing and eCommunications Services
RM1687 Lot 1,1a,Managed Printing and eCommunications Services (Non Commissionable)
RM1687 Lot 2,2,Operational Print Services
RM1689,2,On Site Storage
RM1689,3,Combined On and Off Site Document Storage Services
RM1689,1,Off Site Document Storage
RM1689,4,Document Scanning and Related Services
RM1692,6,Standard Servers
RM1692,7,Standard Storage
RM1692,1,Standard Client device
RM1692,2,Standard Laptop device
RM1692,3,Standard Tablet/Slate device
RM1692,4,Standard Monitor device
RM1692,5,Standard Thin Client device
RM1692,10,Standard Peripherals
RM1692,9,Standard Printer ? Desktop
RM1692,11,Non Standard Desktop
RM1692,12,Non Standard Infrastructure
RM1692,8,Standard Switch Device
RM1704,1,Media Buying - Domestic
RM1704,2,Media Buying - International
RM1705,1.2b,Marketing and Communication ?Strategy Implementation - B2C
RM1705,1.2c,Marketing and Communication ?Strategy Implementation - Social Marketing
RM1705,1.1a,Marketing and Communication ? Strategy Development - B2B 
RM1705,1.1b,Marketing and Communication ? Strategy Development - B2C
RM1705,1.1c,Marketing and Communication ? Strategy Development - Social Marketing
RM1705,1.2a,Marketing and Communication ?Strategy Implementation - B2B
RM1705,10.5,Marketing and Communication ? Innovation
RM1705,20.1,Stakeholder Communication ? Stakeholder Strategy
RM1705,20.2,Stakeholder Communication ? Stakeholder Management
RM1705,30.1,Branding ? Strategy Development
RM1705,40.5,Insight and Modelling ? Behaviour Change
RM1705,50.1,Business Strategy ? Business Planning
RM1705,50.2,Business Strategy ? Market Analysis
RM1705,50.3,Business Strategy ? Corporate Social Responsibility (CSR)
RM1705,10.3,Marketing and Communication ? Planning and Planning Analysis
RM1705,10.4,"Marketing and Communication ? Education, Training and Course Planning"
RM1705,30.2,Branding ? Strategy Implementation
RM1705,40.1,Insight and Modelling ? Consumer Insight
RM1705,40.2,Insight and Modelling ? Future Trend Forecasting
RM1705,40.3,Insight and Modelling ?Modelling and Segmentation
RM1705,40.4,Insight and Modelling ? Scenario Planning
RM1705,60.1,Concept Development ? Concept and Proposition Development
RM1705,60.2,Concept Development ? Concept and Proposition Testing
RM1705,70.1,"Evaluation ? Measurement, Analysis and Evaluation"
RM1705,70.2,Evaluation ? Econometric
RM1707,2,"Digital Design, Development and Delivery"
RM1707,3,Specialist Digital Media Solutions and Services
RM1707,1,Digital Strategy
RM1707,4,User Experience Evaluation and Analytics Services
RM1708,3,Direct Marketing Operational Services ? Contact Centre Response Handling
RM1708,4,Direct Marketing Operational Services ? Mailing House Work
RM1708,1,Direct Marketing (Creative) Agency Services
RM1708,6,Direct Marketing Operational Services ? Specialist Services
RM1708,2,Direct Marketing Operational Services ? Field Marketing
RM1708,5,Direct Marketing Operational Services ? Database Building/Hosting and Data
RM1709,1.1,Live Event Production - Low production value events
RM1709,1.2,Live Event Production - Mid Level Production Value Events
RM1709,1.3,Live Event Production - High Level Production Value Events
RM1709,2,Experiential
RM1709,3.1,Management and Delivery of Large Scale Public Events
RM1709,3.2,"Large Scale Exhibition, Event and Road-Show Management (including marketing"
RM1709,3.4,"Exhibition Stands, Graphic Design and Build Services"
RM1709,4,Facsimiles
RM1709,3.3,"Medium Scale Exhibition, Event and Road-Show Management (including marketin"
RM1709,3.9,Event/Exhibition Asset Management
RM1709,5.1,Event Multi Media Production Services - Presentation Graphics
RM1709,5.2,Event Multi Media Production Services - Webcasting
RM1709,7.2,Audio Visual (AV) Services - AV Services: Medium Production
RM1709,7.3,Audio Visual (AV) Services - AV Services: High Production
RM1709,7.4,"Audio Visual (AV) Services - Interpreters, Interpretation and Microphone Di"
RM1709,7.5,Audio Visual (AV) Services ? Video Conferencin
RM1709,10,Audio Visual System Design and Integration
RM1709,3.5,Purpose Built Exhibition Supply and Construction
RM1709,3.6,Modular Display Supply and Construction
RM1709,3.7,Graphics and Display Systems Production and Supply
RM1709,3.8,Signage Design and Production
RM1709,6.1,Events Interactive Technology - Voting Handsets
RM1709,6.2,Events Interactive Technology - Bespoke Audience Response Systems
RM1709,6.3,Events Interactive Technology - Interactive Displays
RM1709,7.1,Audio Visual (AV) Services - AV Services: Minimal Equipment Provision
RM1709,8.2,Writing and Transcription services ? Legal Verbatim
RM1709,9.1,Scenic - Set and Staging
RM1709,9.2,Scenic - Drapes and Rigging
RM1709,8.1,Writing and Transcription services ? General Event Transcription
RM1710,30.2,Workshop design and facilitiation ? Lead Facilitation
RM1710,30.3,Workshop design and facilitiation ? Table/Group Facilitiation
RM1710,30.4,Workshop design and facilitiation ? Scribing
RM1710,40.1,Analytical and Reporting Services ? Consultation and Analysis
RM1710,1,External Stakeholder Engagement and Consultation
RM1710,30.1,Workshop design and facilitiation ? Workshop Design
RM1710,40.2,Analytical and Reporting Services ? Interpretation of Consultation Outputs
RM1710,40.3,Analytical and Reporting Services ? Data Analysis Tools
RM1710,5,"Measurement, Analysis and Evaluation"
RM1710,2,Project Management
RM1710,6,Digital Infrastructure
RM1712,2.3,Nations and Government regions Northern Ireland
RM1712,2.4,Nations and Government regions London
RM1712,2.5,Nations and Government regions South East
RM1712,2.6,Nations and Government regions South West
RM1712,2.11,Nations and Government regions North East
RM1712,2.12,Nations and Government regions North West
RM1712,0,Nil
RM1712,1,UK
RM1712,2.1,Nations and Government regions Scotland
RM1712,2.2,Nations and Government regions Wales
RM1712,2.7,Nations and Government regions East of England
RM1712,2.8,Nations and Government regions East Midlands
RM1712,2.9,Nations and Government regions West Midlands
RM1712,2.1,Nations and Government regions Yorkshire & Humberside
RM1712,3,International public relations
RM1713,1,Recruitment Marketing
RM1713,5,"Recruitment Marketing for NHS Strategic Health Authorities, NHS Trusts and"
RM1713,2,Public Notice Advertising
RM1713,3,Directories Advertising
RM1714,5,South East
RM1714,6,South West
RM1714,7,Scotland
RM1714,8,Wales
RM1714,1,North West
RM1714,2,"North East, Yorkshire and The Humber"
RM1714,3,Midlands
RM1714,4,East of England
RM1714,9,Northern Ireland
RM1715,10.1,Qualitative Research ? Face to Face
RM1715,10.2,Qualitative Research ? Online
RM1715,20.1,Quantatives Research ? Face to Face
RM1715,20.2,Quantatives Research ? Online
RM1715,30.4,Deliberative Engagement ? Citizens Juries and Deliberative Research
RM1715,40.1,Desk Research ? Evidence Review of Provided Sources
RM1715,40.2,Desk Research ? Sourcing and Reviewing New Material
RM1715,50.1,Omnibus ? Face to Face
RM1715,20.3,Quantatives Research ? Telephone
RM1715,30.1,Deliberative Engagement ? Large Scale Summits
RM1715,30.2,Deliberative Engagement ? Multiple Site Citizens Forums
RM1715,30.3,Deliberative Engagement ? Individual Citizens Forum
RM1715,50.2,Omnibus - Telephone
RM1715,50.3,Omnibus ? Online
RM1720,1,Advertising Agencies
RM1721,1,Communications Planning
RM1722,1,Design and Creative For Print
RM1724,1,Media Buying- Door Drop
RM1725,1,Partnership Marketing
RM1726,1,Press Cuttings
RM1824,1,Flex
RM240,1,Provision Of Postal Services
RM341,2,GI Mapping Services
RM341,1,GI Solutions
RM341,3,GI Data Services
RM353,1,Multi Disciplinary Consultancy
RM365,1,Technical Assurance
RM3702,3,"Merchant Acquiring Services, Merchant Acquiring Equipment and Payment Gateway Se"
RM3702,1,Merchant Acquiring Services and Merchant Acquiring Equipment
RM3702,2,Merchant Acquiring Services and Payment Gateway Services
RM3703,1,Office Supplies for the Wider Public Sector
RM3704,1,Employee Services
RM3707,1,Front Office Counters Service (FOCS)
RM3708,2,Social Media Monitoring and Analysis Tool
RM3708,1,Media Monitoring and Evaluation and Related Services
RM3710,1,Lease of passenger motor vehicles and light commercial vehicles up to 3.5 tonnes
RM3710,3,"Provision of Fleet Management Services, including the management, sourcing and s"
RM3710,2,"Lease of commercial vehicles 3.5 tonnes and above, including buses, coaches, tra"
RM3711,1,Multidisciplinary Temporary Healthcare Personnel
RM3711,2,Locum Doctors
RM3711,3,Nursing
RM3717,5,Document Processing
RM3717,8,Presentation at Trial
RM3717,3,Project Management & Advice
RM3717,4,Data Preservation & Collection
RM3717,6,Document Review & Document Production
RM3717,9,End to End Service (up to and including 'Secret' and 'Top Secret')
RM3717,1,Low Volume Work Service Package
RM3717,2,End to End Service Package
RM3717,7,Disclosure from Other Opponent Parties
RM3719,7,"Specialist corporate finance advice in relation to portfolios of, or discrete, f"
RM3719,3,Advice on and execution of specific equity or equity related capital markets tra
RM3719,4,Advice on and execution of specific debt capital markets transactions
RM3719,1,"General corporate finance advice, separate to any transaction execution"
RM3719,2,Advice on and execution of specific corporate transactions
RM3719,6,Specialist corporate finance advice in relation to the infrastructure sector
RM3719,5,Specialist retail offer advice and execution in relation to specific capital mar
RM3720,1,FM Assurance (Helpdesk and CAFM) Services
RM3723,1,Office Supplies
RM3723,2,Electronic Office Supplies
RM3727,1,Media Audit Services
RM373,5,Corporate Finance
RM373,6,Intellectual Property
RM373,7,Full Commercial
RM373,8,Major Projects
RM373,1,IT Telecoms and eCommerce
RM373,2,Property and Estates
RM373,3,Construction
RM373,4,Employment and Pensions
RM3731,1,Insurance and associated support services
RM3731,2,Insurance brokerage and associated support services
RM3731,4,Insurance brokerage and associated support services for the Ministry of Defence
RM3731,5,Compensation claims handling and associated support services
RM3733,1,Technology Hardware
RM3733,6,Catalogue
RM3733,2,Packaged Software
RM3733,3,Combined Hardware and Packaged Software
RM3733,4,Information Assured Products
RM3733,5,Volume Hardware Requirements (Direct from Original Equipment Manufacturer (OEM))
RM3735,1,Domestic and International Travel Booking and Management Services with a Signifi
RM3735,2,Domestic and International Business Travel Booking and Management Services with
RM3735,4,Meeting & Conference Venue Services
RM3735,3,Domestic and International Business Travel Booking and Management Services with
RM374,5,Connectivity to the Kerb
RM374,6,Wireless Data Services
RM374,7,Networking Equipment
RM374,8,ISP Services
RM374,9,Contingency Services ? EGTPS
RM374,1,Voice Calls and Line Rentals
RM374,3,Infrastructure / Multipoint Connectivity
RM374,4,Dark Fibre
RM374,11,3rd-Party Maintenance
RM374,12,Billing Audit Services
RM374,2,Point-to-point Circuits / Leased Lines
RM374,10,Structured Cabling
RM3741,4,Cost Management Services
RM3741,5,Civil and Structural Engineering Services and Environmental Services
RM3741,3,Architectural Services
RM3741,6,Building Services Engineering and Environmental Services
RM3741,1,Multi-Disciplinary Services
RM3741,2,Project Management Services
RM3742,1,Behavioural Insights Consulting and Research
RM3745,7,Infrastructure
RM3745,6,Education
RM3745,4,HR
RM3745,5,Health and Community
RM3745,2,Finance
RM3745,3,Audit
RM3745,8,ICT and Digital
RM3747,3,Electrical
RM3747,2,Plumbing and Heating
RM3747,5,"Workshop, Industrial and Electrical Tools"
RM3747,7,Flooring
RM3747,1,Building Materials and Associated Services - One Stop Shop
RM3747,8,Small Tool and Plant Hire Services
RM3747,4,Timber and Joinery
RM3747,6,Paints and solvents
RM3749,1,Public Sector Resourcing
RM3754,1,Vehicle Telematics
RM3756,1,Rail Legal Services Tier 1
RM3756,2,Rail Legal Services Tier 2
RM3763,1,One Stop Shop
RM3763,6,Specialist
RM3764,2,Risk Assessment
RM3764,3,Risk Management
RM3764,4,Security Architecture
RM3764,5,Information Assurance Methodol
RM3764,1,Policy & Standards
RM3764,6,Audit and Review
RM3764,7,Incident Management
RM3764ii,3,Cyber Incidents (CIR)
RM3764ii,1.2,Certified Cyber Consultancy - Risk Management
RM3764ii,4,Tailored Evaluations (CTAS)
RM3764ii,1.1,Certified Cyber Consultancy - Risk Assessment
RM3764ii,2,Penetration Testing (CHECK)
RM3764ii,1.4,Certified Cyber Consultancy - Audit and Review
RM3764ii,1.5,Certified Cyber Consultancy - Incident Management
RM3764ii,1.3,Certified Cyber Consultancy - Security Architecture
RM3765,1,Assisted Digital Support
RM3765,2,Digital Inclusion Research And Analysis
RM3765,3,"Digital Inclusion Training Course, Product Or Service Design"
RM3765,4,"Digital Inclusion Training Course, Product Or Service Delivery"
RM3765,5,Digital Inclusion Marketing
RM3767,2,The supply and fit of tyres and associated services to the blue lights emergency
RM3767,1,The supply and fit of tyres and associated services to the blue lights emergency
RM3768,1,National Framework for Energy Performance Contracting (RE:FIT)
RM3769,2,Core Curriculum
RM3769,1,SCS Learning
RM3772,1,Processing of linen items and linen hire items
RM3774,1,Campaign Solutions
RM3777,1,Records Management Service Contract
RM3781,6,Sensitivity Review Service
RM3781,2,Multifunctional Devices and Print Management Software and Services
RM3781,4,Records Information Management Service
RM3781,1,Print Equipment and Entry Level Print Management Software
RM3781,3,Managed Print and Content Management Services
RM3781,5,Scanning services
RM3781,7,Audit and Consultancy Services
RM3784,1,PEPPOL Access Point Services
RM3785,2,Tailored Managed Print Solutions
RM3785,1,Fully Managed End to End Print and Digital Solutions
RM3786,1,General Legal Services Tier 1
RM3786,2,General Legal Services Tier 2
RM3787,1,Finance & Complex Legal Services
RM3788,2a,Full Service Firms - England & Wales
RM3788,3,Property & Construction
RM3788,2b,Full Service Firms - Scotland
RM3788,2c,Full Service Firms - Northern Ireland
RM3788,4,Transport Rail
RM3788,1,Regional Service Provision
RM3790,2,Ancillary Services
RM3790,3,One Stop Shop
RM3790,1,Water Supply and Sewerage Services
RM3791,1,The Supply of Non Half Hourly Electricity and Ancillary Services
RM3792,1,Demand Side Response
RM3795,3,Employee Assistance Programmes
RM3795,2,Occupational Health Services
RM3795,1,Full Service for Occupational Health Services and Employee Assistance Programmes
RM3795,4,Eye Care Services
RM3796,2,Events
RM3796,3,Channel Strategy and Planning
RM3796,1,Specialist Consultancy Services
RM3796,7,Digital Marketing and Social Media
RM3796,11,International
RM3796,6,Creative Development and Delivery
RM3796,8,Data Strategy and Management
RM3796,4,Public Relations (Specialist and Regional)
RM3796,9,Production
RM3796,5,Proposition Development
RM3796,10,Editorial
RM3797,1,Journal Subscriptions (Print and Electronic)
RM3798,1,Collection and delivery of documents and parcels
RM3798,2,Secure collection and delivery of sensitive documents and parcels
RM3798,5,Dedicated network vehicle movements and sortation courier services
RM3798,3,"Secure collection, storage and delivery of examination and test papers and mater"
RM3798,6,Security screening of internal mail documents and parcels
RM3799,2,Controlled Drugs and Pharmaceuticals
RM3799,1,Class 6.2 Infectious Substances (Category A and Category B)
RM3799,7,Radioactive Materials (Class 7)
RM3799,4,Explosive Substances (Class 1) and Firearms
RM3799,5,"The Haulage, Storage and Disposal of Seized Goods"
RM3799,6,"The Haulage, Storage and Disposal of Vehicles"
RM3800,8,Utilities Management Software
RM3800,4,Water Metering Services
RM3800,3,Gas Metering Services
RM3800,5,Fuels Metering Services
RM3800,6,Steam Metering Services
RM3800,7,Heating and Chilling Metering Services
RM3800,2,Electricity Metering Services
RM3800,9,Utilities Bureau Services
RM3800,1,Half Hourly Electricity Meter Operator Services
RM3801,2,Liquified Gas
RM3801,114,Liquid Fuel - Northern Ireland
RM3801,4,"Grease, Lubricants and Antifreeze"
RM3801,101,Liquid Fuel - Scotland North
RM3801,102,Liquid Fuel - Scotland West
RM3801,103,Liquid Fuel - Scotland Central
RM3801,104,Liquid Fuel - Scotland South
RM3801,5,Associated Products and Services
RM3801,110,Liquid Fuel - England South
RM3801,109,Liquid Fuel - England London and South East
RM3801,107,Liquid Fuel - England Midlands
RM3801,108,Liquid Fuel - England East Anglia
RM3801,105,Liquid Fuel - England North West
RM3801,106,Liquid Fuel - England North East
RM3801,112,Liquid Fuel - South Wales
RM3801,111,Liquid Fuel - England South West
RM3801,113,Liquid Fuel - North Wales
RM3801,3,Solid Fuel and Biomass Fuel
RM3802,1,Technology Expense Management
RM3804,4a,Programmes and Large Projects - Government Official Security Classification
RM3804,4b,Programmes and Large Projects - Above Government Official Classification
RM3804,3c,Operational Services - Technical Management
RM3804,3d,Operational Services - Application and Data Management
RM3804,3a,Operational Services - End User Services
RM3804,3b,Operational Services - Operational Management
RM3804,2,Transition and Transformation
RM3804,1,Technology Strategy and Service Design
RM3810,3,Load & Performance Testing
RM3810,4,Functional Testing
RM3810,5,Infrastructure Testing and Environments
RM3810,8,Strategic QA Consultancy
RM3810,1,QA & Testing Specialists
RM3810,2,"Automation, Agile & Dev-Ops"
RM3810,6,Operational Acceptance Testing (OAT) and Disaster Recovery (DR)
RM3810,7,QA & Testing Management
RM3812,1,GPU Hub Programme
RM3812,2,Office Furniture
RM3812,3,Residential Furniture
RM3812,4,High Density Steel Storage
RM3812,5,Repair and Renovation
RM3814,1,Vehicle Conversion DPS
RM3815,2,Contact Centre Services
RM3815,1,Specialist Contact Centre Consultancy Services
RM3816,1,National
RM3816,4,Facilities Management and Property Services
RM3816,2H,Wales and South West
RM3816,2B,East and West Midlands
RM3816,2D,North East England
RM3816,2C,London and South East
RM3816,2E,North West England and North Wales
RM3816,3,Vertical Real Estate
RM3816,2G,Scotland
RM3816,2A,East Anglia
RM3816,2F,Northern Ireland
RM3820,4,Contract Compliance - Telecoms/Mobiles
RM3820,2,End to End Review
RM3820,5,Contract Compliance — Contingent Labour/Agency Staff
RM3820,6,Contract Compliance - VAT
RM3820,3,Contract Compliance - Utilities
RM3820,1,Transaction Review
RM3820,7,Contract Compliance — Property/Rental Review
RM3822,5,Additional Services
RM3822,4,Contract Management Services
RM3822,3,Administration and Support Services
RM3822,2,Sourcing Services
RM3822,1,Managed Learning Service
RM3823,5b,Finance and Tax (all Contracting Authorities)
RM3823,1a,Leadership and Management (CSL)
RM3823,6a,Higher Level Digital (CSL)
RM3823,6b,Higher Level Digital (all Contracting Authorities)
RM3823,8b,Customer Service (all Contracting Authorities)
RM3823,10a,Higher Level Leadership and Management (CSL)
RM3823,2b,Project Management (all Contracting Authorities)
RM3823,7a,Digital (CSL)
RM3823,7b,Digital (all Contracting Authorities)
RM3823,1b,Leadership and Management (all Contracting Authorities)
RM3823,2a,Project Management (CSL)
RM3823,11b,Business and Administration (all Contracting Authorities)
RM3823,10b,Higher Level Leadership and Management (all Contracting Authorities)
RM3823,9a,Commercial (CSL)
RM3823,3a,Operational Delivery (CSL)
RM3823,3b,Operational Delivery (all Contracting Authorities)
RM3823,8a,Customer Service (CSL)
RM3823,9b,Commercial (all Contracting Authorities)
RM3823,11a,Business and Administration (CSL)
RM3823,4b,Human Resources (all Contracting Authorities)
RM3823,12b,Property (all Contracting Authorities)
RM3823,5a,Finance and Tax (CSL)
RM3823,4a,Human Resources (CSL)
RM3825,1,HSCN Access Services
RM3826,1,Preferred Supplier List
RM3826,2,Master Vendor
RM3826,3,Neutral Vendor
RM3828,1,Public Sector Card
RM3828,2,Pre-Paid Cards
RM3828,3,Fund Disbursement Solutions
RM3830,1c,Total contract value £50M+
RM3830,1b,Total contract value £7M - £50M
RM3830,1a,Total contract value up to £7M
RM390,2,Supply & Installation of flooring
RM390,1,Supply of Textile Floor Coverings
RM397,1,Estates Professional Services
RM440,1,General office furniture at the mid market level including all relevant acc
RM440,3,"Supply, Delivery and Installation of Residential Furniture & Supply"
RM440,5,Delivery and Installation of Service Family Accommodation Furniture and ass
RM440,2,"Supply, Delivery and Installation of Courtroom/Bespoke Furniture and associ"
RM440,4,Delivery and Installation of Mess and Barracks Furniture & Supply
RM440,6,"Supply, Delivery and Installation of High Density Steel Storage including r"
RM449,1,Warewash
RM449,2,Waste Disposal
RM450,1,Hardware
RM450,2,Services
RM457,1,Project Management and Full Design Team Services
RM464B,1,Specialist Recruitment Services
RM464B,2,Volume Recruitment Services
RM464C,19,Procurement
RM464C,17,Organisational Development
RM464C,2,Communications & Marketing
RM464C,3,Customer Service
RM464C,4,Diversity & Equal Opportunities
RM464C,10,Human Resources
RM464C,12,Information Technology
RM464C,20,Programme & Project Management
RM464C,7,Finance
RM464C,9,Health & Welfare
RM464C,16,Management & Leadership
RM464C,22,Security
RM464C,11,Information & Records Management
RM464C,21,Specialist Services
RM464C,8,Vocational Training
RM464C,5a,Bespoke eLearning
RM464C,5b,Generic eLearning
RM464C,1,Skills for Life
RM464C,13,Social Awareness
RM464C,6,Working with Ministers
RM464C,18,Policy Skills
RM464C,15,Legal
RM464C,14,Languages
RM467,1,Automated Meter Reading
RM467,2,Site Works
RM467,3,Energy Services
RM489,2,Conference Services (One Stop Shop)
RM489,1,Air and Ferry Services (One Stop Shop)
RM489,3,Hotel Services (One Stop Shop)
RM489,4,Rail Services (One Stop Shop)
RM489,5,Other Travel Services (One Stop Shop)
RM489,99,Non Framework Spend
RM505,1,Spend Analysis
RM526,2,Wide-Area Paging & Messaging
RM526,1,Mobile Voice & Data Services
RM526,3,Bespoke Solutions
RM526,4,Unspecified Lot (for MI return use only)
RM526,99,Business relating to MSI -A217838 (for MI return use only)
RM536,1,Fuel Cards & Associated Products
RM536,2,Fuel Management/Audit & Associated Services including Web-based data integr
RM537,2,"Pre Payment Cards, Contactless Cards & Associated Services."
RM537,1,"Payment Cards, Travel Cards, Integrated Cards, Commercial Cards & Associate"
RM537,3,"Web Based Integration Solutions, Expenses Management & Associated."
RM591,2,Application Consultancy & Delivery Services
RM591,3,ICT Architecture and Infrastructure Consultancy & Delivery Services
RM591,4a,ICT Security Consultancy & Delivery Services - Planning & Design
RM591,4d,ICT Security Consultancy & Delivery Services - Day to Day Analysis & Consul
RM591,1,ICT Strategy Consultancy & Development
RM591,4b,ICT Security Consultancy & Delivery Services - Testing
RM591,4c,ICT Security Consultancy & Delivery Services - ICT Investigative Services
RM6000,1,Fuel Cards and Associated Services
RM6001,1,Supplier Early Payment Solutions
RM6002,2,"General Recruitment - Digital, Data and Technology (DDaT)"
RM6002,5,General Recruitment - Project Delivery
RM6002,3,General Recruitment - Corporate
RM6002,6,"Executive Search - Digital, Data and Technology (DDaT)"
RM6002,4,General Recruitment - Finance
RM6002,1,General Recruitment - Administrative & Operational Roles
RM6002,7,Executive Search - Senior Roles
RM6002,8,Talent Mapping
RM6003,1,Media Buying
RM6004,1,Behavioural Insights
RM6007,5,CONTACT CENTRE SERVICES FOR DIRECT RESPONSE MARKETING AND RELATED SERVICES
RM6007,5.0,CONTACT CENTRE SERVICES FOR DIRECT RESPONSE MARKETING AND RELATED SERVICES
RM6008,1,Business Consultancy Services
RM6008,2,"Procurement, Supply Chain And Commercial Consultancy Services"
RM6008,3,Complex And Transformation Consultancy Services
RM6008,4,Strategic Consultancy Services
RM6016,4,Offline and Online Travel Solution
RM6016,5,"Venue Find, Group Accommodation and Supporting Services"
RM6016,3,Online Air Solution
RM6016,1,Online Rail Solution
RM6016,2,Online Accommodation Solution
RM6018,1,Research Marketplace
RM6064,1,DTA
RM6073,1,National UK coverage for work over £25m
RM6073,2,Northern UK coverage for work under £25m
RM6073,3,Southern UK coverage for work under £25m
RM613,1,esourcing
RM623,1,Software
RM632,5,"Supply and Delivery of Personal Protective Equipment, Safety Equipment/Trai"
RM632,3,Supply and Delivery of Electrical Hardware
RM632,2,Supply and Delivery of Industrial Heating and Pipeline Supplies
RM632,4,"Supply and Delivery of Workshop, Industrial and Electrical Tools"
RM632,1,Supply and Delivery of Building Materials & Associated Managed Services
RM632,6,Supply and Delivery of Plant Hire
RM646,1,General Fleet Mgmt Services
RM646,2,Fleet Development & Improvement Services
RM646,3,Fleet Mgmt Services for customers with enhanced security.
RM653,1,Desktop 21
RM655,1,Supply of Printing and Copier Papers (Recycled and Virgin Fibre)
RM662,7,HR Consultancy
RM662,3,Business Strategy Consultancy ? Local Government
RM662,6,Organisation and Change Management Consultancy ? Local Government
RM662,1,Business Strategy
RM662,4,Organisation and Change Management Consultancy
RM662,9,Programme and Project Management Consultancy
RM662,10,Marketing Consultancy
RM662,2,Business strategy Consultancy ? Health
RM662,11,Financial and Economic Consultancy
RM662,5,Organisation and Change Management Consultancy ? Health
RM662,8,Procurement Consultancy
RM662,12,Accounting Advice and Services
RM662,13,Audit and Assurance Advice and Services
RM673,1,Commercial Refrigeration and Cold Stores
RM673,2,Medical Refrigeration and Mortuary Chambers
RM679,2,Gas Billing Meters
RM679,3,Water Billing Meters
RM679,4,"Sub-Metering, other Utilities, Meter Network & aM&T Software"
RM679,5,One-Stop-Shop Solution
RM679,1,Electric Billing Meters
RM683,1,Heating Oil and Automotive Fuels Pasa contract ref CM/GAO/08/5032
RM683,2,Heating Oil and Automative Fuel
RM692,1a,One Stop Shop WPS
RM692,1b,One Stop Shop CCG
RM692,4b,Finance & Audit CCG
RM692,5a,Human Resources WPS
RM692,5b,Human Resources CCG
RM692,10b,Marketing & Communications CCG
RM692,4a,Finance & Audit WPS
RM692,8a,Procurement & Purchasing WPS
RM692,8b,Procurement & Purchasing CCG
RM692,10a,Marketing & Communications WPS
RM692,2a,Programme & Programme Management WPS
RM692,2b,Programme & Project Management CCG
RM692,3a,Information & Communication Technology WPS
RM692,3b,Information & Communication Technology CCG
RM692,6a,Board & Executive WPS
RM692,6b,Board & Executive CCG
RM708,1,Facilities Management
RM713,1,Bespoke Solutions
RM713,2,Customer / Citizen Relationship Management & Case Management Solutions
RM713,3,Document & Records Management Solutions
RM713,4,"HR, Finance, Procurement, Transactions Management & ERP Solutions"
RM713,5,Information Management Applications
RM713,6,Web Design & Content Management Services
RM717,1,IT Managed Services
RM720,1,ICT Products & Services
RM721,2,Infrastructure Hardware
RM721,1,Desktop Hardware
RM721,3,Specialist Channel partners for Software
RM722,3,Furniture and associated products through supported businesses
RM722,4,Document Management Services through supported businesses
RM722,1,ICT Disposal - Secure disposal through supported businesses.
RM722,2,ICT Disposal - Non secure disposal through supported businesses
RM722,3,Furniture & Associated Products through Supported Businesses.
RM738,1,Face-to-Face Interpreting Services
RM738,2,Language Skills Training
RM781,1,One Stop Shop (= Lots 2 + 3 + 4)
RM781,2,"Desktop Office Supplies, Cut paper, Business and Specialist Stationery"
RM781,3,Electronic Office Supplies and Electronic Storage Media
RM781,4,Small Business Machines
RM782,4a,Customer direct access
RM782,5a,Pre-sortation for inbound delivery
RM782,6a,PO Boxes
RM782,7a,Response services
RM782,13a,Document exchange
RM782,14a,Description Data cleansing/Address Management
RM782,1,Collection and delivery to addressee
RM782,2,Consolidation of mail
RM782,3,Secure Mail
RM782,4,Customer direct access
RM782,9,Undeliverables/goneaways
RM782,10,Hybrid Mail
RM782,11,Mail consultancy
RM782,12,Mail audits
RM782,1a,Collection and delivery to addressee
RM782,2a,Consolidation of mail
RM782,3a,Secure Mail
RM782,8a,Redirection
RM782,9a,Undeliverables/goneaways
RM782,10a,Hybrid Mail
RM782,11a,Mail consultancy
RM782,12a,Mail audits
RM782,5,Pre-sortation for inbound delivery
RM782,6,PO Boxes
RM782,7,Response services
RM782,8,Redirection
RM782,13,Document exchange
RM782,14,Data cleansing/Address Management
RM782,99,Wider Public Sector Spend (DX Group)
RM784,5,Telecoaching Products and Services
RM784,6,Managed Services
RM784,3,Telehealth Products
RM784,4,Telehealth Services
RM784,1,Telecare Products
RM784,2,Telecare Services
RM807,1,Passenger and Light Commercial Vehicles up to 3.5 tonnes
RM807,3,"Passenger Vehicles, Light Commercial Vehicles up to3.5 tonnes & Heavy Comme to"
RM807,2,Light Commercial Vehicles up to 3.5 tonnes & Heavy Commercial Vehicles up
RM808,2,Air
RM808,1,Rail
RM808,99,Non Framework Spend
RM808,6,Total Services
RM808,3,Hotels
RM808,4,Conference Facilities
RM808,5,Serviced Accommodation
RM820,23d,Masters in Public Administration (MPA) delivered through distance learning.
RM820,23b,Masters in Business Administration (MBA) Delivered through distance learnin
RM820,23c,Masters in Public Administration (MPA) delivered by executive and/or tradit
RM820,23a,Masters in Business Administration(MBA)delivered by executive and/or tradit
RM827,1,Managed Telecommunications Convergence Framework (MTCF)
RM828,1,GSI Convergence Framework (GCF)
RM830,5,Policy and technical advice - noise and statutory nuisance
RM830,8,Support and deliveries - air
RM830,15,Sustainability
RM830,16,Built environment
RM830,1,Policy and technical advice - air
RM830,2,Policy and technical advice - biodiversity
